ZIP,BLDGNO1,STREET1,STSUFX1,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,full_address
11212,219,LOTT,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3617,40,219 LOTT AVE
11212,227,LOTT,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3617,36,227 LOTT AVE
11212,251,MOTHER GASTON,BLVD,61,BROOKLYN,MULTIPLE,DWELLING,A,3675,7,251 MOTHER GASTON BLVD
11212,603,MOTHER GASTON,BLVD,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3794,28,603 MOTHER GASTON BLVD
11212,11,TO 21 NEW LOTS,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3628,1,11 TO 21 NEW LOTS AVE
11212,23,TO 39 NEW LOTS,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3628,1,23 TO 39 NEW LOTS AVE
11212,96,NEW LOTS,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3862,1,96 NEW LOTS AVE
11212,45,NEWPORT,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3596,1,45 NEWPORT ST
11212,80,NEWPORT,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3610,34,80 NEWPORT ST
11212,86,NEWPORT,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3610,37,86 NEWPORT ST
11212,140,TO 142 NEWPORT,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3612,35,140 TO 142 NEWPORT ST
11212,167,NEWPORT,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3602,9,167 NEWPORT ST
11212,179,NEWPORT,ST,MULTIPLE,DWELLING,A,421-A,(1-15),3602,6,179 NEWPORT ST
11212,200,NEWPORT,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3615,1,200 NEWPORT ST
11212,206,NEWPORT,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3615,1,206 NEWPORT ST
11212,210,TO 232 NEWPORT,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,210 TO 232 NEWPORT ST
11212,234,NEWPORT,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,234 NEWPORT ST
11212,510,OSBORN,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,510 OSBORN ST
11212,520,TO 528 OSBORN,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,520 TO 528 OSBORN ST
11212,530,TO 538 OSBORN,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,530 TO 538 OSBORN ST
11212,540,OSBORN,ST,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,540 OSBORN ST
11212,547,OSBORN,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3617,40,547 OSBORN ST
11212,1574,TO 1576 PITKIN,AVE,A,GARDEN,COMPLEX,421-A,(16),3517,31,1574 TO 1576 PITKIN AVE
11212,1747,PITKIN,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3489,260,1747 PITKIN AVE
11212,1805,PITKIN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3709,30,1805 PITKIN AVE
11212,1821,PITKIN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3709,232,1821 PITKIN AVE
11212,1849,PITKIN,AVE,MULTIPLE,DWELLING,A,421-A,(1-15),3709,133,1849 PITKIN AVE
11212,1853,PITKIN,AVE,MULTIPLE,DWELLING,A,421-A,(1-15),3709,131,1853 PITKIN AVE
11212,281,POWELL,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3763,117,281 POWELL ST
11212,666,TO 676 POWELL,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3862,1,666 TO 676 POWELL ST
11212,669,TO 675 RALPH,AVE,J-51,ARTICLES,14,&,15,3509,15,669 TO 675 RALPH AVE
